104D2000     522D1998     1S1994       1994 2   14842  4.3 2    14939 40 4 4 3 1    15001  54 4 4 4 2 2000  6  97 159  . 2001  . 13  .  7
104D2003     514D2001     174D2000     2000 2   15935  4.5 2    16048 44 4 5 5 1    16116  55 4 5 5 2 2003  3 113 181  . 2004  . 13  .  4
104D2004     559S2002     44D2000      2000 2   16299  6.0 1    16409 34 3 3 3 1    16485  40 3 3 3 2 2004  4 110 186  . 2006  . 24  .  6
104D2005     516D2004     27D1999      1999 2   16668  6.0 1    16804 30 3 3 3 1    16853  46 5 4 4 2 2005  6 136 185  .    .  .  .  .  .
104D2006     507S2003     54D2002      2002 2   17052  5.0 1    17127 20 1 1 1 1    17197  20 1 1 1 2 2006  4  75 145  .    .  .  .  .  .
104S1997     4397         55D1993      1993 2   13743  6.0 1    13840 28 3 3 3 1    13947  43 3 4 4 1 1997  4  97 204  .    .  .  .  .  .
104S2001     540D2000     136T1999     1999 2   15215  6.7 1    15306 45 4 5 4 1    15383  59 5 5 5 1 2001  2  91 168  .    .  .  .  .  .
104T2002     563D2000     65D1999      1999 2   15583  4.0 1    15671 29 3 3 3 1    15749  40 3 4 4 3 2002  3  88 166  . 2004  . 23  .  5
105D2000     567S1999     41D1992      1992 2   14842  5.0 1    14939 30 2 3 2 1    15001  42 3 4 4 2 2000  8  97 159  . 2001  . 12  .  9
105D2004     559S2002     44D2000      2000 2   16299  7.0 1    16409 36 3 3 4 1    16485  45 3 2 3 2 2004  4 110 186  . 2006  . 24  .  6
105D2006     507S2003     8S2002       2002 2   17052  6.0 1    17127 25 1 1 1 1    17197  31 2 2 2 2 2006  4  75 145  .    .  .  .  .  .
105S1999     536S1997     88D1995      1995 2   14475  4.8 1    14547 22 2 2 2 1    14660  50 3 3 3 1 1999  4  72 185  . 2002  . 36  .  7
105S2001     524D1996     81D2000      2000 2   15215  6.1 1    15306 35 3 4 4 1    15383  46 3 3 4 1 2001  1  91 168  . 2003  . 24  .  3
105S2003     514D2001     85S2000      2000 2   15935  3.5 2    16048 34 3 3 4 1    16116  50 4 5 5 1 2003  3 113 181  . 2006  . 36  .  6
106D1996     563S1994     54-A1991     1991 2   13370  5.5 1    13461 25 3 4 3 1    13573  44 3 4 3 2 1996  5  91 203  . 1998  . 24  .  7
106D1997     3721         66S1993      1993 2   13743  4.4 3    13840 34 3 3 3 1    13947  51 4 4 4 2 1997  4  97 204  . 1999  . 25  .  6
106D1998     600D1996     74D1993      1993 2   14120  4.1 4    14204 15 1 1 1 1    14312  27 1 1 1 2 1998  5  84 192  .    .  .  .  .  .
106D2001     540D2000     36D1994      1994 2   15216  5.8 1    15306 25 2 4 3 1    15383  45 3 4 4 2 2001  7  90 167  . 2003  . 23  .  9
106D2005     627D2001     18T2001      2001 2   16668  5.0 1    16822 21 1 1 3 1    16853  20 1 1 1 2 2005  4 154 185  .    .  .  .  .  .
106D2006     507S2003     14S2002      2002 2   17052  4.0 1    17127 24 1 1 1 1    17197  29 2 2 2 2 2006  4  75 145  .    .  .  .  .  .
107D1996     563S1994     54-A1991     1991 2   13370  4.5 1    13461 25 2 2 3 1    13573  39 2 3 3 2 1996  5  91 203  .    .  .  .  .  .
107D1997     543D1995     44D1992      1992 2   13744  5.6 1    13840 29 2 3 3 1    13947  50 4 4 3 2 1997  5  96 203  . 1999  . 24  .  7
107D1998     600D1996     74D1993      1993 2   14120  4.5 2    14204 21 2 2 2 1    14312  45 3 4 3 2 1998  5  84 192  . 2000  . 24  .  7
107D2000     522D1998     56D1994      1994 2   14842  5.2 1    14939 43 3 4 4 1    15001  50 4 4 4 2 2000  6  97 159  . 2001  . 12  .  7
107D2004     561S2003     155S2001     2001 2   16299  6.0 1    16409 30 2 2 2 1    16485  35 3 2 2 2 2004  3 110 186  .    .  .  .  .  .
107S2001     524D1998     123S2000     2000 2   15216  3.8 3    15306 27 2 2 2 1    15383  38 2 2 2 1 2001  1  90 167  .    .  .  .  .  .
107S2003     627D2001     46D2001      2001 2   15936  5.8 1    16001 31 4 4 4 1    16116  62 4 5 5 1 2003  2  65 180  .    .  .  .  .  .
107S2005     538D2003     119D1997     1997 2   16668  6.0 1    16804 32 3 3 3 1    16853  39 2 3 3 1 2005  8 136 185  . 2007  . 23  . 10
107S2006     507S2003     6D2002       2002 2   17052  6.0 1    17127 28 2 2 3 1    17197  35 2 2 3 1 2006  4  75 145  .    .  .  .  .  .
108D1996     543D1995     14D1994      1994 2   13370  4.0 1    13461 28 2 2 2 1    13573  35 2 2 2 2 1996  2  91 203  .    .  .  .  .  .
108D1997     554S1993     36D1991      1991 2   13744  6.0 1    13840 19 1 1 1 1    13947  26 1 2 1 2 1997  6  96 203  .    .  .  .  .  .
108D1998     609D1996     64T1993      1993 2   14120  4.8 2    14204 23 2 2 2 1    14312  45 2 4 3 2 1998  5  84 192  . 2000  . 23  .  7
108D1999     31           25D1993      1993 2   14479  6.5 1    14547 24 3 3 3 1    14660  64 4 4 4 2 1999  6  68 181  . 2001  . 23  .  8
108D2000     577S1998     43D1992      1992 2   14842  3.5 1    14939 30 3 2 3 1    15001  35 3 3 3 2 2000  8  97 159  .    .  .  .  .  .
